"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 17 11:45:13 BRT 2021","Mon May 17 11:45:13 BRT 2021","202","","EVENTO CONFIRM","","","","deve exibir a mensagem ""Confirmado"" ao clicar em ok",""
"failed","Mon May 17 11:45:38 BRT 2021","Mon May 17 11:45:43 BRT 2021","5260","","CADASTRO","","","","não deve ser capaz de cadastrar um usuário com os campos ""Nome"" e ""Sobrenome"" inválidos",""
"passed","Mon May 17 11:45:37 BRT 2021","Mon May 17 11:45:38 BRT 2021","982","","CADASTRO","","","","deve exibir um popup quando o usuário se cadastra com as opções ""Carne"" e ""Vegetariano""",""
"passed","Mon May 17 11:45:13 BRT 2021","Mon May 17 11:45:13 BRT 2021","216","","EVENTO CONFIRM","","","","deve exibir um campo de confirmação com uma mensagem específica",""
"passed","Mon May 17 11:45:31 BRT 2021","Mon May 17 11:45:33 BRT 2021","2056","","CADASTRO","","","","deve ser capaz de cadastrar um usuário com o seguinte item: [ frango ]",""
"passed","Mon May 17 11:45:00 BRT 2021","Mon May 17 11:45:00 BRT 2021","77","","BOTÃO CLIQUE ME","","","","deve possuir o valor inicial ""Clique Me!""",""
"passed","Mon May 17 11:45:29 BRT 2021","Mon May 17 11:45:31 BRT 2021","2079","","CADASTRO","","","","deve ser capaz de cadastrar um usuário com o seguinte item: [ carne ]",""
"passed","Mon May 17 11:45:09 BRT 2021","Mon May 17 11:45:09 BRT 2021","194","","BOTÕES CLIQUE AQUI","","","","deve exibir o nome correspondente a linha da tabela ao clicar no botão | [ Francisco ]",""
"failed","Mon May 17 11:45:15 BRT 2021","Mon May 17 11:45:20 BRT 2021","4547","","EVENTO PROMPT","","","","não deve aceitar caracteres inválidos no campo de entrada",""
"passed","Mon May 17 11:45:44 BRT 2021","Mon May 17 11:45:44 BRT 2021","148","","LINK VOLTAR","","","","deve exibir um elemento DOM com o texto ""Voltou!""",""
"passed","Mon May 17 11:45:11 BRT 2021","Mon May 17 11:45:12 BRT 2021","144","","EVENTO ALERT","","","","deve exibir um alerta com uma mensagem específica",""
"passed","Mon May 17 11:45:25 BRT 2021","Mon May 17 11:45:25 BRT 2021","230","","CADASTRO","","","","não deve ser capaz de cadastrar um usuário com o campo ""Nome"" vazio",""
"passed","Mon May 17 11:45:05 BRT 2021","Mon May 17 11:45:08 BRT 2021","3614","","BOTÃO RESPOSTA DEMORADA","","","","deve ser capaz de escrever algo na nova entrada de texto",""
"passed","Mon May 17 11:45:01 BRT 2021","Mon May 17 11:45:05 BRT 2021","3183","","BOTÃO RESPOSTA DEMORADA","","","","deve exibir um campo de entrada de texto",""
"passed","Mon May 17 11:45:25 BRT 2021","Mon May 17 11:45:26 BRT 2021","413","","CADASTRO","","","","não deve ser capaz de cadastrar um usuário com o campo ""Sobrenome"" vazio",""
"passed","Mon May 17 11:45:10 BRT 2021","Mon May 17 11:45:10 BRT 2021","257","","BOTÕES CLIQUE AQUI","","","","deve exibir o nome correspondente a linha da tabela ao clicar no botão | [ Doutorado ]",""
"passed","Mon May 17 11:45:27 BRT 2021","Mon May 17 11:45:29 BRT 2021","2102","","CADASTRO","","","","deve ser capaz de cadastrar um usuário com credenciais válidas",""
"passed","Mon May 17 11:45:35 BRT 2021","Mon May 17 11:45:37 BRT 2021","2019","","CADASTRO","","","","deve ser capaz de cadastrar um usuário com o seguinte item: [ vegetariano ]",""
"failed","Mon May 17 11:45:20 BRT 2021","Mon May 17 11:45:24 BRT 2021","4474","","EVENTO PROMPT","","","","não deve aceitar o campo de entrada vazio",""
"passed","Mon May 17 11:45:15 BRT 2021","Mon May 17 11:45:15 BRT 2021","247","","EVENTO PROMPT","","","","deve inserir um número e obter um retorno positivo",""
"passed","Mon May 17 11:45:13 BRT 2021","Mon May 17 11:45:14 BRT 2021","218","","EVENTO CONFIRM","","","","deve exibir a mensagem ""Negado"" ao clicar em cancelar",""
"passed","Mon May 17 11:45:10 BRT 2021","Mon May 17 11:45:10 BRT 2021","187","","BOTÕES CLIQUE AQUI","","","","deve exibir o nome correspondente a linha da tabela ao clicar no botão | [ Usuario B ]",""
"passed","Mon May 17 11:45:00 BRT 2021","Mon May 17 11:45:00 BRT 2021","166","","BOTÃO CLIQUE ME","","","","deve alterar o valor do botão para ""Obrigado!""",""
"passed","Mon May 17 11:45:26 BRT 2021","Mon May 17 11:45:27 BRT 2021","691","","CADASTRO","","","","não deve ser capaz de cadastrar um usuário com o campo ""Sexo"" vazio",""
"passed","Mon May 17 11:45:15 BRT 2021","Mon May 17 11:45:15 BRT 2021","166","","EVENTO PROMPT","","","","deve inserir um número e obter um retorno negativo",""
"passed","Mon May 17 11:45:10 BRT 2021","Mon May 17 11:45:10 BRT 2021","184","","BOTÕES CLIQUE AQUI","","","","deve exibir o nome correspondente a linha da tabela ao clicar no botão | [ Usuario A ]",""
"passed","Mon May 17 11:45:09 BRT 2021","Mon May 17 11:45:10 BRT 2021","221","","BOTÕES CLIQUE AQUI","","","","deve exibir o nome correspondente a linha da tabela ao clicar no botão | [ Maria ]",""
"passed","Mon May 17 11:45:33 BRT 2021","Mon May 17 11:45:35 BRT 2021","2116","","CADASTRO","","","","deve ser capaz de cadastrar um usuário com o seguinte item: [ pizza ]",""
